Date,Close
2023-11-22,137.98977661132812
2023-11-24,136.19627380371094
2023-11-27,135.9172821044922
2023-11-28,136.70443725585938
2023-11-29,134.50242614746094
2023-11-30,132.05130004882812
2023-12-01,131.38372802734375
2023-12-04,128.80308532714844
2023-12-05,130.51687622070312
2023-12-06,129.55038452148438
2023-12-07,136.43539428710938
2023-12-08,134.50242614746094
2023-12-11,132.8085479736328
2023-12-12,132.0413360595703
2023-12-13,132.09117126464844
2023-12-14,131.46343994140625
2023-12-15,132.1210479736328
2023-12-18,135.3094940185547
2023-12-19,136.15640258789062
2023-12-20,137.84030151367188
2023-12-21,139.9127960205078
2023-12-22,140.97894287109375
2023-12-26,141.0088348388672
2023-12-27,139.86297607421875
2023-12-28,139.72348022460938
2023-12-29,139.18544006347656
2024-01-02,137.67092895507812
2024-01-03,138.418212890625
2024-01-04,135.89736938476562
2024-01-05,135.23973083496094
2024-01-08,138.3385009765625
2024-01-09,140.44090270996094
2024-01-10,141.76608276367188
2024-01-11,141.5668182373047
2024-01-12,142.13473510742188
2024-01-16,141.97532653808594
2024-01-17,140.9590301513672
2024-01-18,142.9617462158203
2024-01-19,145.8512725830078
2024-01-22,145.46267700195312
2024-01-23,146.50889587402344
2024-01-24,148.16290283203125
2024-01-25,151.32142639160156
2024-01-26,151.64028930664062
2024-01-29,152.9555206298828
2024-01-30,150.91293334960938
2024-01-31,139.59396362304688
2024-02-01,140.650146484375
2024-02-02,141.86573791503906
2024-02-05,143.16102600097656
2024-02-06,143.5795135498047
2024-02-07,145.01429748535156
2024-02-08,145.38296508789062
2024-02-09,148.46182250976562
2024-02-12,146.9971160888672
2024-02-13,144.61575317382812
2024-02-14,145.41285705566406
2024-02-15,142.2543182373047
2024-02-16,140.012451171875
2024-02-20,140.6102752685547
2024-02-21,142.03512573242188
2024-02-22,143.56954956054688
2024-02-23,143.4400177001953
2024-02-26,137.07310485839844
2024-02-27,138.3783721923828
2024-02-28,135.8874053955078
2024-02-29,137.9598846435547
2024-03-01,136.6446533203125
2024-03-04,132.86834716796875
2024-03-05,132.1907958984375
2024-03-06,130.9253692626953
2024-03-07,133.89462280273438
2024-03-08,134.9208984375
2024-03-11,137.17274475097656
2024-03-12,137.99974060058594
2024-03-13,139.2850799560547
2024-03-14,142.5831298828125
2024-03-15,140.6700439453125
2024-03-18,147.14657592773438
2024-03-19,146.49893188476562
2024-03-20,148.2027587890625
2024-03-21,147.06687927246094
2024-03-22,150.22543334960938
2024-03-25,149.5279541015625
2024-03-26,150.1257781982422
2024-03-27,150.32504272460938
2024-03-28,150.3848419189453
2024-04-01,154.92837524414062
2024-04-02,154.00172424316406
2024-04-03,154.3604278564453
2024-04-04,149.98629760742188
2024-04-05,151.9491729736328
2024-04-08,154.2906951904297
2024-04-09,156.03436279296875
2024-04-10,155.57603454589844
2024-04-11,158.834228515625
2024-04-12,157.16029357910156
2024-04-15,154.3006591796875
2024-04-16,153.84230041503906
2024-04-17,154.908447265625
2024-04-18,155.44650268554688
2024-04-19,153.53343200683594
2024-04-22,155.7154998779297
2024-04-23,157.6883544921875
2024-04-24,158.55523681640625
2024-04-25,155.4365234375
2024-04-26,171.3289337158203
2024-04-29,165.54986572265625
2024-04-30,162.19204711914062
2024-05-01,163.2681427001953
2024-05-02,166.01815795898438
2024-05-03,166.6359405517578
2024-05-06,167.4928436279297
2024-05-07,170.63143920898438
2024-05-08,168.76821899414062
2024-05-09,169.3461151123047
2024-05-10,168.04083251953125
2024-05-13,168.52908325195312
2024-05-14,169.7247314453125
2024-05-15,171.88690185546875
2024-05-16,173.5508575439453
2024-05-17,175.424072265625
2024-05-20,176.28097534179688
2024-05-21,177.20761108398438
2024-05-22,175.742919921875
2024-05-23,172.92315673828125
2024-05-24,174.3579559326172
2024-05-28,175.76284790039062
2024-05-29,175.26463317871094
2024-05-30,171.4883575439453
2024-05-31,171.87692260742188
2024-06-03,172.5445098876953
2024-06-04,173.1622772216797
2024-06-05,174.77642822265625
2024-06-06,176.09164428710938
2024-06-07,173.82986450195312
2024-06-10,174.5780029296875
2024-06-11,176.18402099609375
2024-06-12,177.3511199951172
2024-06-13,174.72763061523438
2024-06-14,176.3535919189453
2024-06-17,176.802490234375
2024-06-18,174.65780639648438
2024-06-20,175.8648223876953
2024-06-21,179.1865997314453
2024-06-24,178.77760314941406
2024-06-25,183.5757293701172
2024-06-26,183.4261016845703
2024-06-27,184.95233154296875
2024-06-28,181.70037841796875
2024-07-01,182.53831481933594
2024-07-02,184.78274536132812
2024-07-03,185.361328125
2024-07-05,190.1295166015625
2024-07-08,188.56338500976562
2024-07-09,188.51351928710938
2024-07-10,190.70806884765625
2024-07-11,185.1119384765625
2024-07-12,184.61317443847656
2024-07-15,186.06954956054688
2024-07-16,183.46600341796875
2024-07-17,180.5731658935547
2024-07-18,177.2513885498047
2024-07-19,177.22146606445312
2024-07-22,181.2215576171875
2024-07-23,181.3412628173828
2024-07-24,172.20387268066406
2024-07-25,166.86708068847656
2024-07-26,166.5877685546875
2024-07-29,169.1115264892578
2024-07-30,169.86964416503906
2024-07-31,171.11656188964844
2024-08-01,170.33848571777344
2024-08-02,166.2486114501953
2024-08-05,158.85690307617188
2024-08-06,157.89926147460938
2024-08-07,158.54766845703125
2024-08-08,161.63003540039062
2024-08-09,163.2659912109375
2024-08-12,161.88938903808594
2024-08-13,163.75477600097656
2024-08-14,159.97412109375
2024-08-15,160.90184020996094
2024-08-16,162.5577392578125
2024-08-19,166.25857543945312
2024-08-20,166.76731872558594
2024-08-21,165.44061279296875
2024-08-22,163.39566040039062
2024-08-23,165.21116638183594
2024-08-26,165.74984741210938
2024-08-27,164.27349853515625
2024-08-28,162.44802856445312
2024-08-29,161.3806610107422
2024-08-30,162.97671508789062
2024-09-03,156.97157287597656
2024-09-04,156.06381225585938
2024-09-05,156.85186767578125
2024-09-06,150.54745483398438
2024-09-09,148.53976440429688
2024-09-10,148.4898223876953
2024-09-11,150.98695373535156
2024-09-12,154.51292419433594
2024-09-13,157.27975463867188
2024-09-16,157.87905883789062
2024-09-17,159.1376190185547
2024-09-18,159.62705993652344
2024-09-19,161.9543914794922
2024-09-20,163.40272521972656
2024-09-23,161.6647186279297
2024-09-24,162.1042022705078
2024-09-25,161.3051300048828
2024-09-26,162.543701171875
2024-09-27,163.76231384277344
2024-09-30,165.66014099121094
2024-10-01,166.79884338378906
2024-10-02,165.67013549804688
2024-10-03,165.67013549804688
2024-10-04,166.86875915527344
2024-10-07,162.79342651367188
2024-10-08,164.19183349609375
2024-10-09,161.67471313476562
2024-10-10,161.8944549560547
2024-10-11,163.05313110351562
2024-10-14,164.7711639404297
2024-10-15,165.27059936523438
2024-10-16,164.97093200683594
2024-10-17,162.74346923828125
2024-10-18,163.23292541503906
2024-10-21,163.88218688964844
2024-10-22,164.95095825195312
2024-10-23,162.59365844726562
2024-10-24,162.53372192382812
2024-10-25,165.080810546875
2024-10-28,166.52914428710938
2024-10-29,169.48574829101562
2024-10-30,174.26028442382812
2024-10-31,170.91412353515625
2024-11-01,171.09390258789062
2024-11-04,169.0462646484375
2024-11-05,169.5457000732422
2024-11-06,176.3079376220703
2024-11-07,180.5430908203125
2024-11-08,178.14584350585938
2024-11-11,180.1435546875
2024-11-12,181.41207885742188
2024-11-13,178.67523193359375
2024-11-14,175.37899780273438
2024-11-15,172.29254150390625
2024-11-18,175.0993194580078
2024-11-19,177.9160919189453
2024-11-20,175.77853393554688
2024-11-21,167.4381103515625
2024-11-22,164.57138061523438
2024-11-25,167.45806884765625
2024-11-26,168.9263916015625
2024-11-27,169.03627014160156
2024-11-29,168.756591796875
2024-12-02,171.29368591308594
2024-12-03,171.1438446044922
2024-12-04,174.17037963867188
2024-12-05,172.44236755371094
2024-12-06,174.510009765625
2024-12-09,175.3699951171875
2024-12-10,185.1699981689453
2024-12-11,195.39999389648438
2024-12-12,191.9600067138672
2024-12-13,189.82000732421875
2024-12-16,196.66000366210938
2024-12-17,195.4199981689453
2024-12-18,188.39999389648438
2024-12-19,188.50999450683594
2024-12-20,191.41000366210938
2024-12-23,194.6300048828125
2024-12-24,196.11000061035156
2024-12-26,195.60000610351562
2024-12-27,192.75999450683594
2024-12-30,191.24000549316406
2024-12-31,189.3000030517578
2025-01-02,189.42999267578125
2025-01-03,191.7899932861328
2025-01-06,196.8699951171875
2025-01-07,195.49000549316406
2025-01-08,193.9499969482422
2025-01-10,192.0399932861328
2025-01-13,191.00999450683594
2025-01-14,189.66000366210938
2025-01-15,195.5500030517578
2025-01-16,192.91000366210938
2025-01-17,196.0
2025-01-21,198.0500030517578
2025-01-22,198.3699951171875
2025-01-23,197.97999572753906
2025-01-24,200.2100067138672
2025-01-27,191.80999755859375
2025-01-28,195.3000030517578
2025-01-29,195.41000366210938
2025-01-30,200.8699951171875
2025-01-31,204.02000427246094
2025-02-03,201.22999572753906
2025-02-04,206.3800048828125
2025-02-05,191.3300018310547
2025-02-06,191.60000610351562
2025-02-07,185.33999633789062
2025-02-10,186.47000122070312
2025-02-11,185.32000732421875
2025-02-12,183.61000061035156
2025-02-13,186.13999938964844
2025-02-14,185.22999572753906
2025-02-18,183.77000427246094
2025-02-19,185.27000427246094
2025-02-20,184.55999755859375
2025-02-21,179.66000366210938
2025-02-24,179.25
2025-02-25,175.4199981689453
2025-02-26,172.72999572753906
2025-02-27,168.5
2025-02-28,170.27999877929688
2025-03-03,167.00999450683594
2025-03-04,170.9199981689453
2025-03-05,173.02000427246094
2025-03-06,172.35000610351562
